,class,label,gloss
0,http://yago-knowledge.org/resource/wordnet_cascade_109236957,cascade,a small waterfall or series of small waterfalls
1,http://yago-knowledge.org/resource/wordnet_frontier_108505402,frontier,a wilderness at the edge of a settled area of a country; 'the individualism of the frontier in Andrew Jackson's day'
2,http://yago-knowledge.org/resource/wordnet_location_100027167,location,a point or extent in space
3,http://yago-knowledge.org/resource/wordnet_workshop_104603081,shop,small workplace where handcrafts or manufacturing are done
4,http://yago-knowledge.org/resource/wordnet_workshop_104603081,workshop,small workplace where handcrafts or manufacturing are done
5,http://yago-knowledge.org/resource/wordnet_oil_refinery_103844673,oil refinery,a refinery for petroleum
6,http://yago-knowledge.org/resource/wordnet_oil_refinery_103844673,petroleum refinery,a refinery for petroleum
7,http://yago-knowledge.org/resource/wordnet_topographic_point_108664443,spot,a point located with respect to surface features of some region; 'this is a nice place for a picnic'; 'a bright spot on a planet'
8,http://yago-knowledge.org/resource/wordnet_topographic_point_108664443,place,a point located with respect to surface features of some region; 'this is a nice place for a picnic'; 'a bright spot on a planet'
9,http://yago-knowledge.org/resource/wordnet_topographic_point_108664443,topographic point,a point located with respect to surface features of some region; 'this is a nice place for a picnic'; 'a bright spot on a planet'
10,http://yago-knowledge.org/resource/wordnet_well_104572344,well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
11,http://yago-knowledge.org/resource/wordnet_eitchen_midden_108560560,eitchen midden,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement
12,http://yago-knowledge.org/resource/wordnet_eitchen_midden_108560560,kitchen midden,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement
13,http://yago-knowledge.org/resource/wordnet_eitchen_midden_108560560,midden,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement
14,http://yago-knowledge.org/resource/wordnet_dale_109262690,dale,an open river valley (in a hilly area)
15,http://yago-knowledge.org/resource/wordnet_gate_103427296,gate,a movable barrier in a fence or wall
16,http://yago-knowledge.org/resource/wordnet_outstation_108613985,outpost,a station in a remote or sparsely populated location
17,http://yago-knowledge.org/resource/wordnet_outstation_108613985,outstation,a station in a remote or sparsely populated location
18,http://yago-knowledge.org/resource/wordnet_ascent_109206985,rise,an upward slope or grade (as in a road); 'the car couldn't make it up the rise'
19,http://yago-knowledge.org/resource/wordnet_ascent_109206985,climb,an upward slope or grade (as in a road); 'the car couldn't make it up the rise'
20,http://yago-knowledge.org/resource/wordnet_ascent_109206985,upgrade,an upward slope or grade (as in a road); 'the car couldn't make it up the rise'
21,http://yago-knowledge.org/resource/wordnet_ascent_109206985,raise,an upward slope or grade (as in a road); 'the car couldn't make it up the rise'
22,http://yago-knowledge.org/resource/wordnet_ascent_109206985,acclivity,an upward slope or grade (as in a road); 'the car couldn't make it up the rise'
23,http://yago-knowledge.org/resource/wordnet_ascent_109206985,ascent,an upward slope or grade (as in a road); 'the car couldn't make it up the rise'
24,http://yago-knowledge.org/resource/wordnet_inlet_109313716,inlet,an arm off of a larger body of water (often between rocky headlands)
25,http://yago-knowledge.org/resource/wordnet_inlet_109313716,recess,an arm off of a larger body of water (often between rocky headlands)
26,http://yago-knowledge.org/resource/wordnet_mausoleum_103732114,mausoleum,"a large burial chamber, usually above ground"
27,http://yago-knowledge.org/resource/wordnet_air_base_102685585,air base,a base for military aircraft
28,http://yago-knowledge.org/resource/wordnet_air_base_102685585,air station,a base for military aircraft
29,http://yago-knowledge.org/resource/wordnet_reservoir_104078747,reservoir,lake used to store water for community use
30,http://yago-knowledge.org/resource/wordnet_reservoir_104078747,man-made lake,lake used to store water for community use
31,http://yago-knowledge.org/resource/wordnet_reservoir_104078747,artificial lake,lake used to store water for community use
32,http://yago-knowledge.org/resource/wordnet_pavilion_103900979,marquee,large and often sumptuous tent
33,http://yago-knowledge.org/resource/wordnet_pavilion_103900979,pavilion,large and often sumptuous tent
34,http://yago-knowledge.org/resource/wordnet_forest_109284015,forest,land that is covered with trees and shrubs
35,http://yago-knowledge.org/resource/wordnet_forest_109284015,timberland,land that is covered with trees and shrubs
36,http://yago-knowledge.org/resource/wordnet_forest_109284015,timber,land that is covered with trees and shrubs
37,http://yago-knowledge.org/resource/wordnet_forest_109284015,woodland,land that is covered with trees and shrubs
38,http://yago-knowledge.org/resource/wordnet_municipality_108626283,municipality,an urban district having corporate status and powers of self-government
39,http://yago-knowledge.org/resource/wordnet_clearing_108541288,clearing,a tract of land with few or no trees in the middle of a wooded area
40,http://yago-knowledge.org/resource/wordnet_clearing_108541288,glade,a tract of land with few or no trees in the middle of a wooded area
41,http://yago-knowledge.org/resource/wordnet_trestle_bridge_104479939,trestle bridge,a bridge supported by trestlework
42,http://yago-knowledge.org/resource/wordnet_recording_studio_104064107,recording studio,studio where tapes and records are recorded
43,http://yago-knowledge.org/resource/wordnet_port_108633957,port,a place (seaport or airport) where people and merchandise can enter or leave a country
44,http://yago-knowledge.org/resource/wordnet_football_stadium_103379204,football stadium,a stadium where football games are held
45,http://yago-knowledge.org/resource/wordnet_penal_colony_103907475,penal colony,a penal institution where prisoners are exiled (often located on an island from which escape is difficult or impossible)
46,http://yago-knowledge.org/resource/wordnet_bookshop_102871525,bookstore,a shop where books are sold
47,http://yago-knowledge.org/resource/wordnet_bookshop_102871525,bookstall,a shop where books are sold
48,http://yago-knowledge.org/resource/wordnet_bookshop_102871525,bookshop,a shop where books are sold
49,http://yago-knowledge.org/resource/wordnet_canyon_109233446,canon,a ravine formed by a river in an area with little rainfall
50,http://yago-knowledge.org/resource/wordnet_canyon_109233446,canyon,a ravine formed by a river in an area with little rainfall
51,http://yago-knowledge.org/resource/wordnet_patriarchate_108617873,patriarchate,the jurisdiction of a patriarch
