class,label,gloss
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,define the kind of place
http://yago-knowledge.org/resource/permanentRelationToSubject,relation,determine the permanent relationship between the place and another entity
http://yago-knowledge.org/resource/isLocatedIn,inside,places with spatial relationship to another place (inside)
http://yago-knowledge.org/resource/graduatedFrom,graduated from,people graduated from the universities or colleges
http://yago-knowledge.org/resource/wasBornIn,born,people born in a place
http://yago-knowledge.org/resource/diedIn,died,people died in a place
http://yago-knowledge.org/resource/wroteMusicFor,music about,music or art about the places
http://yago-knowledge.org/resource/happenedIn,event happened in,events happened in a place
http://yago-knowledge.org/resource/isCitizenOf,citizen of,people who are citizen of a country or a political division
http://yago-knowledge.org/resource/livesIn,live in,"people live in a country, city or state"
http://yago-knowledge.org/resource/influences,influence,Influence of a place or property
http://yago-knowledge.org/resource/isConnectedTo,connected to ,Places or locations connected to another place
http://yago-knowledge.org/resource/participatedIn,participated in an event,Events that a place participated in
http://yago-knowledge.org/resource/worksAt,work in the place,People who work in a place (an organization)
http://yago-knowledge.org/resource/isLeaderOf,leader of,Leader or president of a country
http://yago-knowledge.org/resource/isPoliticianOf,politician of,Politician of a country or state
http://yago-knowledge.org/resource/exports,exports,Export of a place
http://yago-knowledge.org/resource/hasCapital,capital,Capital city of a state or country
http://yago-knowledge.org/resource/isKnownFor,known for,Alterantive URI of a place
http://yago-knowledge.org/resource/hasOfficialLanguage,official language,Offical language of a place
http://yago-knowledge.org/resource/imports,imports,Import of a place
http://yago-knowledge.org/resource/hasCurrency,currency,Currency in a place such as US dollars or EURO
http://yago-knowledge.org/resource/hasGeonamesClassId,Geonames class,Geonames type
http://yago-knowledge.org/resource/hasLatitude,latitude,Latitude part of the coordinates
http://yago-knowledge.org/resource/hasLongitude,longitude,Longitude part of the coordinates
http://yago-knowledge.org/resource/hasGeonamesEntityId,Geonames entity id,Geonames ID of the place
http://www.w3.org/2000/01/rdf-schema#label,name,Place name or label
http://yago-knowledge.org/resource/hasGloss,gloss,Gloss that describe the place 
http://yago-knowledge.org/resource/startedOnDate,start date,Start date of a place
http://yago-knowledge.org/resource/occursUntil,occurs until,events happened in a place until a specific date
http://yago-knowledge.org/resource/wasDestroyedOnDate,end date,End date of the a historic place
http://yago-knowledge.org/resource/hasDuration,duration,Duration of a historic place exists 
http://yago-knowledge.org/resource/hasRevenue,revenue,Revenue is the total amount of income generated by the sale of goods or services related to the company's primary operations
http://yago-knowledge.org/resource/hasWikipediaArticleLength,Wikipedia document length,The length of a document that describe the place in Wikipedia
http://yago-knowledge.org/resource/endedOnDate,end date,End date of the a historic place
http://yago-knowledge.org/resource/startsExistingOnDate,start date,Start date of a place
http://yago-knowledge.org/resource/wasCreatedOnDate,creation date,Start date of a place
http://yago-knowledge.org/resource/hasBudget,budget,budgets of an organization
http://yago-knowledge.org/resource/wasBornOnDate,born,people born in a place
http://yago-knowledge.org/resource/occursIn,occurs in,events happened in a place
http://yago-knowledge.org/resource/hasAirportCode,airport code,"Airport code, code that describe the ariports"
http://yago-knowledge.org/resource/hasNeighbor,neighbour,"Neighbours of places, adjacent places "
http://yago-knowledge.org/resource/hasArea,area,"Area of places such as countries, cities and states"
http://yago-knowledge.org/resource/hasGeonamesId,Geonames id,Geonames ID of the place
http://yago-knowledge.org/resource/endsExistingOnDate,end date,End date of the a historic place
http://yago-knowledge.org/resource/hasPoverty,poverty,Poverty situation of a country
http://yago-knowledge.org/resource/hasLength,length,Length of places such as rivers or streets
http://yago-knowledge.org/resource/hasHeight,elevation,Elevation or height of place such as mountain or buildings
http://yago-knowledge.org/resource/hasHeight,height,Elevation or height of place such as mountain or buildings
http://yago-knowledge.org/resource/hasImport,import,Import of a place
http://yago-knowledge.org/resource/hasExport,export,Export of a place
http://yago-knowledge.org/resource/hasWikipediaCategory,Wikipedia category,Wikipedia category of the place
http://yago-knowledge.org/resource/hasContext,context,contextual description of a place or property
http://yago-knowledge.org/resource/hasAnchorText,anchor text,anchor text describing the place
http://yago-knowledge.org/resource/hasMotto,motto,"Motto of a university, state or country"
http://yago-knowledge.org/resource/placedIn,placed inside,places with spatial relationship to another place (inside)
http://www.w3.org/2000/01/rdf-schema#comment,comment,comments describing an entity or property
http://yago-knowledge.org/resource/occursSince,event occurred in a date,events occurred in a place on a specific date
http://yago-knowledge.org/resource/hasTitleText,title,title or short description
http://yago-knowledge.org/resource/happenedOnDate,event happened in a specific date,events occurred in a place on a specific date
http://yago-knowledge.org/resource/hasGeoCoordinates,coordinates,geographic coordinates of a place (often a centroid)
http://yago-knowledge.org/resource/hasGini,Gini index,The Gini index that describe the economic situation of a country 
http://yago-knowledge.org/resource/byTransport,by transport,by transport
http://yago-knowledge.org/resource/hasNumberOfWikipediaLinks,Wikipedia importance,Number of Wikipedia pages that describe the importance of a place
http://yago-knowledge.org/resource/hasEconomicGrowth,economic growth,The economic growth situation of a country or state
http://yago-knowledge.org/resource/hasLanguageCode,language,Language spoken in a place
http://yago-knowledge.org/resource/hasNumberOfPeople,population,number of people or population of a place such as country or city
