key,value,description
natural,wood,"Tree-covered area (a 'forest' or 'wood'). Also see landuse=forest. For more detail, one can use leaf_type=* and leaf_cycle=*."
natural,tree_row,A line of trees.
natural,tree,A single tree.
natural,scrub,"Uncultivated land covered with shrubs, bushes or stunted trees."
natural,heath,"A dwarf-shrub habitat, characterised by open, low growing woody vegetation, often dominated by plants of the Ericaceae."
natural,moor,"Don't use, see wikipage. Upland areas, characterised by low-growing vegetation on acidic soils."
natural,grassland,"Areas where the vegetation is dominated by grasses (Poaceae) and other herbaceous (non-woody) plants. For mown/managed grass see landuse=grass, for hay/pasture see landuse=meadow."
natural,fell,"Habitat above the tree line covered with grass, dwarf shrubs and mosses."
natural,tundra,"Habitat above tree line in alpine and subpolar regions, principally covered with uncultivated grass, low growing shrubs and mosses and sometimes grazed."
natural,bare_rock,"An area with sparse or no vegetation, so that the bedrock becomes visible."
natural,scree,Unconsolidated angular rocks formed by rockfall and weathering from adjacent rockfaces.
natural,shingle,An accumulation of rounded rock fragments on a beach or riverbed
natural,sand,An area covered by sand with no or very little vegetation. See natural=beach and natural=dune as well.
natural,mud,Area covered with mud: water saturated fine grained soil without significant plant growth. Also see natural=wetland + wetland=* if the surfaces are unknown.
natural,water,"Any body of water, from natural such as a lake or pond to artificial like moat or canal. Also see waterway=riverbank"
natural,wetland,"A natural area subject to inundation or with waterlogged ground, further specified with wetland=*"
natural,glacier,A permanent body of ice formed naturally from snow that is moving under its own weight.
natural,bay,An area of water mostly surrounded by land but with a level connection to the ocean or a lake.
natural,cape,"A piece of elevated land sticking out into the sea or large lake. Includes capes, heads, headlands and (water) promontories."
natural,strait,A narrow area of water surrounded by land on two sides and by water on two other sides.
natural,beach,"landform along a body of water which consists of sand, shingle or other loose material"
natural,coastline,The mean high water springs line between the sea and land (with the water on the right side of the way.)
natural,reef,"A feature (rock, sandbar, coral, etc) lying beneath the surface of the water"
natural,spring,A place where ground water flows naturally from the ground (Other languages).
natural,hot_spring,A spring of geothermally heated groundwater
natural,geyser,A spring characterized by intermittent discharge of water ejected turbulently and accompanied by steam.
natural,peak,The top (summit) of a hill or mountain.
natural,dune,"A hill of sand formed by wind, covered with no or very little vegetation. See also natural=sand and natural=beach."
natural,hill,A hill.
natural,volcano,An opening exposed on the earth's surface where volcanic material is emitted.
natural,valley,node A natural depression flanked by ridges or ranges of mountains or hills
natural,ridge,A mountain or hill linear landform with a continuous elevated crest
natural,arete,"An arête, a thin, almost knife-like, ridge of rock which is typically formed when two glaciers erode parallel U-shaped valleys."
natural,cliff,"A vertical or almost vertical natural drop in terrain, usually with a bare rock surface (leave the lower face to the right of the way)."
natural,saddle,The lowest point along a ridge or between two mountain tops
natural,isthmus,"A narrow strip of land, bordered by water on both sides and connecting two larger land masses."
natural,peninsula,"A piece of land projecting into water from a larger land mass, nearly surrounded by water"
natural,rock,A notable rock or group of rocks attached to the underlying bedrock.
natural,stone,"A single notable freestanding rock, which may differ from the composition of the terrain it lies in.; e.g., glacial erratic."
natural,sinkhole,A natural depression or hole in the surface topography.
natural,cave_entrance,The entrance to a cave: a natural underground space large enough for a human to enter.
waterway,river,"A river is a wide, natural watercourse that flows from a source to an ocean, sea, lake or another river. For narrow naturally-formed waterways, see waterway=stream."
waterway,riverbank,"Sometimes used for larger rivers in addition to waterway=river, to define an area between the opposite riverbanks. Also see water=river with natural=water."
waterway,stream,"A naturally-formed waterway that is too narrow to be classed as a river. An active, able-bodied person should be able to jump over it."
waterway,tidal_channel,A natural tidal waterway within the coastal marine environment with bi-directional flow of salty water which depends on the tides.
waterway,canal,"An artificial open flow waterway used to carry useful water for transportation, waterpower, or irrigation. (Other languages)."
waterway,pressurised,"A waterway where water is flowing in a fully enclosed conduit and subject to pressure; this includes gravity-driven penstocks and siphons and pump-driven pipelines, for example."
waterway,drain,"An artificial free flow waterway used for carrying superfluous water like storm water or industrial discharge, usually lined with concrete, stones or similar."
waterway,ditch,"An small artificial free flow waterway used for carrying superfluous water for drainage purposes, usually unlined."
waterway,fairway,A navigable route in a lake or sea marked by buoys. The navigable area marked by the buoys can be mapped with seamark:type=fairway.
waterway,fish_pass,"A  fish pass, also known as a fish ladder, a fishway or fish steps, is a structure on or around artificial barriers (such as dams and locks) to facilitate diadromous fishes natural migration."
waterway,dock,An 'enclosed' area of water used for building or repairing ships.
waterway,boatyard,"Boat yard – a place for constructing, repairing and storing vessels out of the water."
waterway,dam,A wall built across a river or stream to impound the water. A dam normally does not have water flowing over the top of it.
waterway,weir,A barrier built across a river to control speed and depth. Water can still flow over the top.
waterway,waterfall,"A waterfall, use in combination with natural=cliff"
