key,value,description
amenity,bar,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food."
amenity,biergarten,"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant."
amenity,cafe,"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe."
amenity,fast_food,Fast food restaurant. The kind of food served can be tagged with cuisines and diets.
amenity,food_court,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc."
amenity,ice_cream,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter
amenity,pub,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK).
amenity,restaurant,Restaurant (not fast food). The kind of food served can be tagged with cuisines and diets.
amenity,college,Campus or buildings of an institute of Further Education (aka continuing education)
amenity,driving_school,Driving School which offers motor vehicle driving lessons
amenity,kindergarten,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children."
amenity,language_school,Language School is an educational institution where one studies a foreign language.
amenity,library,"A public library (municipal, university, …) to borrow books from."
amenity,toy_library,"A place to borrow games and toys, or play with them on site."
amenity,music_school,"A music school, an educational institution specialized in the study, training, and research of music."
amenity,school,"School and grounds - primary, middle and seconday schools."
amenity,university,An university campus: an institute of higher education
amenity,bicycle_parking,Parking for bicycles.
amenity,bicycle_repair_station,"General tools for self-service bicycle repairs, usually on the roadside; no service"
amenity,bicycle_rental,Rent a bicycle
amenity,boat_rental,Rent a Boat
amenity,boat_sharing,Share a Boat
amenity,bus_station,May also be tagged as public_transport station.
amenity,car_rental,Rent a car
amenity,car_sharing,Share a car
amenity,car_wash,Wash a car
amenity,vehicle_inspection,Government vehicle inspection
amenity,charging_station,Charging facility for electric vehicles
amenity,ferry_terminal,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.
amenity,fuel,Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway service.
amenity,grit_bin,A container that holds grit or a mixture of salt and grit.
amenity,motorcycle_parking,Parking for motorcycles
amenity,parking,Car park. Nodes and areas (without access tag) will get a parking symbol. Areas will be coloured. Streets on car parking are often tagged highway=service and service=parking_aisle.
amenity,parking_entrance,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking. Do not mix with amenity=parking.
amenity,parking_space,A single parking space. Group multiple parking spaces together with a relation using the tags type=site and site=parking. Do not mix with amenity=parking.
amenity,taxi,A place where taxis wait for passengers.
amenity,atm,ATM or cash point: a device that provides the clients of a financial institution with access to financial transactions.
amenity,bank,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds."
amenity,bureau_de_change,"Bureau de change, money changer, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques."
amenity,baby_hatch,"A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted."
amenity,clinic,A medium-sized medical facility or health centre.
amenity,dentist,A dentist practice / surgery.
amenity,doctors,A doctor's practice / surgery.
amenity,hospital,A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities.
amenity,nursing_home,Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.
amenity,pharmacy,Pharmacy: a shop where a pharmacist sells medications dispensing=yes/no - availability of prescription-only medications
amenity,social_facility,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc."
amenity,veterinary,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices."
amenity,arts_centre,A venue where a variety of arts are performed or conducted
amenity,brothel,An establishment specifically dedicated to prostitution
amenity,casino,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds."
amenity,cinema,A place where films are shown (US: movie theater)
amenity,community_centre,"A place mostly used for local events, festivities and group activities; including special interest and special age groups."
amenity,conference_centre,A large building that is used to hold a convention
amenity,events_venue,A building specifically used for organising events
amenity,fountain,A fountain for cultural / decorational / recreational purposes.
amenity,gambling,"A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre."
amenity,love_hotel,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.
amenity,nightclub,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub."
amenity,planetarium,A planetarium.
amenity,public_bookcase,A street furniture containing books. Take one or leave one.
amenity,social_centre,A place for free and not-for-profit activities.
amenity,stripclub,A place that offers striptease or lapdancing (for sexual services use amenity=brothel).
amenity,studio,TV radio or recording studio
amenity,swingerclub,A club where people meet to have a party and group sex.
amenity,theatre,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters."
amenity,courthouse,"A building home to a court of law, where justice is dispensed"
amenity,embassy,"An embassy, consulate or diplomatic office. Also see office=diplomatic"
amenity,fire_station,A station of a fire brigade
amenity,police,A police station where police officers patrol from and that is a first point of contact for civilians
amenity,post_box,A box for the reception of mail. Alternative mail-carriers can be tagged via operator=*
amenity,post_depot,"Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery."
amenity,post_office,Post office building with postal services
amenity,prison,A prison or jail where people are incarcerated before trial or after conviction
amenity,ranger_station,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc"
amenity,townhall,"Building where the administration of a village, town or city may be located, or just a community meeting place"
amenity,bbq,"BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood;electric;charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping campfires and firepits, instead use the tag leisure=firepit."
amenity,bench,A bench to sit down and relax a bit
amenity,dog_toilet,Area designated for dogs to urinate and excrete.
amenity,drinking_water,"Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler."
amenity,give_box,A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.
amenity,shelter,A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*.
amenity,shower,Public shower or bath.
amenity,telephone,Public telephone
amenity,toilets,Public toilets (might require a fee)
amenity,water_point,Place where you can get large amounts of drinking water
amenity,watering_place,Place where water is contained and animals can drink
amenity,sanitary_dump_station,A place for depositing human waste from a toilet holding tank.
amenity,recycling,"Recycling facilities (bottle banks, etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres."
amenity,waste_basket,A single small container for depositing garbage that is easily accessible for pedestrians.
amenity,waste_disposal,"A medium or large disposal bin, typically for bagged up household or industrial waste."
amenity,waste_transfer_station,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk."
amenity,animal_boarding,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)"
amenity,animal_breeding,"A facility where animals are bred, usually to sell them"
amenity,animal_shelter,A shelter that recovers animals in trouble
amenity,baking_oven,"An oven used for baking bread and similar, for example inside a building=bakehouse."
amenity,childcare,A place where children of different ages are looked after which is not an amenity=kindergarten or preschool.
amenity,clock,A public visible clock
amenity,crematorium,A place where dead human bodies are burnt
amenity,dive_centre,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.
amenity,funeral_hall,"A place for holding a funeral ceremony, other than a place of worship."
